TIMESTAMP;SW_BELOW;SW_IN
201306110715;97;385
201306110730;179;439
201306110745;227;474
201306110800;236;520
201306110815;226;565
201306110830;270;609
201306110845;324;657
201306110900;396;704
201306110915;480;765
201306110930;459;729
201306110945;385;668
201306111000;387;835
201306111015;336;856
201306111030;349;879
201306111045;287;900
201306111100;379;918
201306111115;430;933
201306111130;496;942
201306111145;503;953
201306111200;484;962
201306111215;462;968
201306111230;557;940
201306111245;500;877
201306111300;414;804
201306111315;386;882
201306111330;451;971
201306111345;455;946
201306111400;341;637
201306111415;206;441
201306111430;357;736
201306111445;213;565
201306111500;251;690
201306111515;296;735
201306111530;240;554
201306111545;129;312
201306111600;89;232
201306111615;61;167
201306111630;84;215
201306111645;85;214
201306111700;76;187
201306111715;63;146
201306111730;56;155
201306111745;35;93
201306111800;29;71
201306111815;38;87
201306111830;25;60
201306111845;21;65
201306111900;19;59
201306111915;14;36
201306111930;12;14
201306111945;9;2
201306112000;0;0
201306112015;0;0
201306112030;0;0
201306112045;0;0
201306112100;0;0
201306112115;0;0
201306112130;0;0
201306112145;0;0
201306112200;0;0
201306112215;0;0
201306112230;0;0
201306112245;0;0
201306112300;0;0
201306112315;0;0
201306112330;0;0
201306112345;0;0
201306120000;0;0
201306120015;0;0
201306120030;0;0
201306120045;0;0
201306120100;0;0
201306120115;0;0
201306120130;0;0
201306120145;0;0
201306120200;0;0
201306120215;0;0
201306120230;0;0
201306120245;0;0
201306120300;0;0
201306120315;0;0
201306120330;0;0
201306120345;0;0
201306120400;0;0
201306120415;0;0
201306120430;0;0
201306120445;8;1
201306120500;9;9
201306120515;11;17
201306120530;13;32
201306120545;22;83
201306120600;47;148
201306120615;57;191
201306120630;67;238
201306120645;87;287
201306120700;70;338
201306120715;126;393
201306120730;193;447
201306120745;251;513
201306120800;293;635
201306120815;225;528
201306120830;146;345
201306120845;197;433
201306120900;351;640
201306120915;482;774
201306120930;512;800
201306120945;493;832
201306121000;388;859
201306121015;364;887
201306121030;384;915
201306121045;339;935
201306121100;418;949
201306121115;448;963
201306121130;522;974
201306121145;500;982
201306121200;512;990
201306121215;493;998
201306121230;608;1001
201306121245;607;999
201306121300;544;991
201306121315;440;984
201306121330;-9999;976
201306121345;-9999;962
201308051445;319;813
201308051500;356;776
201308051515;354;738
201308051530;285;699
201308051545;261;657
201308051600;254;612
201308051615;246;564
201308051630;195;515
201308051645;155;463
201308051700;110;407
201308051715;128;353
201308051730;87;301
201308051745;62;249
201308051800;60;195
201308051815;41;143
201308051830;20;94
201308051845;13;55
201308051900;9;24
201308051915;8;3
201308051930;0;0
201308051945;0;0
201308052000;0;0
201308052015;0;0
201308052030;0;0
201308052045;0;0
201308052100;0;0
201308052115;0;0
201308052130;0;0
201308052145;0;0
201308052200;0;0
201308052215;0;0
201308052230;0;0
201308052245;0;0
201308052300;0;0
201308052315;0;0
201308052330;0;0
201308052345;0;0
201308060000;0;0
201308060015;0;0
201308060030;0;0
201308060045;0;0
201308060100;0;0
201308060115;0;0
201308060130;0;0
201308060145;0;0
201308060200;0;0
201308060215;0;0
201308060230;0;0
201308060245;0;0
201308060300;0;0
201308060315;0;0
201308060330;0;0
201308060345;0;0
201308060400;0;0
201308060415;0;0
201308060430;0;0
201308060445;0;0
201308060500;0;0
201308060515;0;0
201308060530;9;8
201308060545;12;27
201308060600;19;54
201308060615;31;88
201308060630;52;134
201308060645;45;101
201308060700;61;142
201308060715;101;270
201308060730;90;331
201308060745;152;405
201308060800;192;447
201308060815;239;501
201308060830;376;555
201308060845;386;602
201308060900;378;646
201308060915;412;690
201308060930;444;729
201308060945;420;754
201308061000;437;805
201308061015;514;826
201308061030;458;853
201308061045;408;876
201308061100;365;896
201308061115;436;910
201308061130;546;925
201308061145;462;936
201308061200;423;945
201308061215;498;950
201308061230;429;951
201308061245;418;948
201308061300;516;945
201308061315;480;935
201308061330;489;923
201308061345;335;907
201308061400;214;884
201308061415;331;856
201308061430;331;828
201308061445;308;793
201308061500;342;760
201308061515;343;723
201308061530;289;685
201308061545;280;729
201308061600;210;531
201308061615;197;481
201308061630;190;520
201308061645;160;448
201308061700;99;342
201308061715;41;122
201308061730;95;297
201308061745;67;230
201308061800;63;187
201308061815;38;134
201308061830;21;82
201308061845;14;43
201308061900;10;14
201308061915;8;1
201308061930;0;0
201308061945;0;0
201308062000;0;0
201308062015;0;0
201308062030;0;0
201308062045;0;0
201308062100;0;0
201308062115;0;0
201308062130;0;0
201308062145;0;0
201308062200;0;0
201308062215;0;0
201308062230;0;0
201308062245;0;0
201308062300;0;0
201308062315;0;0
201308062330;0;0
201308062345;0;0
201308070000;0;0
201308070015;0;0
201308070030;0;0
201308070045;0;0
201308070100;0;0
201308070115;0;0
201308070130;0;0
201308070145;0;0
201308070200;0;0
201308070215;0;0
201308070230;0;0
201308070245;0;0
201308070300;0;0
201308070315;0;0
201308070330;0;0
201308070345;0;0
201308070400;0;0
201308070415;0;0
201308070430;0;0
201308070445;0;0
201308070500;0;0
201308070515;0;0
201308070530;9;3
201308070545;10;10
201308070600;13;19
201308070615;17;33
201308070630;20;45
201308070645;30;68
201308070700;43;97
201308070715;53;124
201308070730;114;202
201308070745;160;246
201308070800;-9999;333
201404261130;607;803
201404261145;282;409
201404261200;392;536
201404261215;430;577
201404261230;623;837
201404261245;348;485
201404261300;439;596
201404261315;355;496
201404261330;354;499
201404261345;580;796
201404261400;622;882
201404261415;522;752
201404261430;404;591
201404261445;455;660
201404261500;367;545
201404261515;387;567
201404261530;308;445
201404261545;266;374
201404261600;251;359
201404261615;333;473
201404261630;318;479
201404261645;172;259
201404261700;139;210
201404261715;224;370
201404261730;149;255
201404261745;102;178
201404261800;38;61
201404261815;42;55
201404261830;21;27
201404261845;16;16
201404261900;8;1
201404261915;0;0
201404261930;0;0
201404261945;0;0
201404262000;0;0
201404262015;0;0
201404262030;0;0
201404262045;0;0
201404262100;0;0
201404262115;0;0
201404262130;0;0
201404262145;0;0
201404262200;0;0
201404262215;0;0
201404262230;0;0
201404262245;0;0
201404262300;0;0
201404262315;0;0
201404262330;0;0
201404262345;0;0
201404270000;0;0
201404270015;0;0
201404270030;0;0
201404270045;0;0
201404270100;0;0
201404270115;0;0
201404270130;0;0
201404270145;0;0
201404270200;0;0
201404270215;0;0
201404270230;0;0
201404270245;0;0
201404270300;0;0
201404270315;0;0
201404270330;0;0
201404270345;0;0
201404270400;0;0
201404270415;0;0
201404270430;0;0
201404270445;0;0
201404270500;0;0
201404270515;0;0
201404270530;10;4
201404270545;13;12
201404270600;20;22
201404270615;36;44
201404270630;70;87
201404270645;79;104
201404270700;100;136
201404270715;90;122
201404270730;101;136
201404270745;140;188
201404270800;166;225
201404270815;187;252
201404270830;213;288
201404270845;273;362
201404270900;239;319
201404270915;354;456
201404270930;395;541
201404270945;308;415
201404271000;301;408
201404271015;340;463
201404271030;569;743
201404271045;375;515
201404271100;475;-9999
201404271115;400;-9999
201404271130;368;452
201404271145;411;547
201404271200;444;641
201404271215;677;902
201404271230;907;1122
201404271245;656;943
201404271300;701;928
201404271315;556;802
201404271330;681;973
201404271345;596;832
201404271400;224;307
201404271415;620;851
201404271430;653;921
201404271445;422;648
201404271500;423;646
201404271515;473;728
201404271530;445;665
201404271545;456;686
201404271600;358;536
201404271615;333;521
201404271630;297;459
201404271645;297;418
201404271700;240;363
201404271715;167;285
201404271730;128;227
201404271745;99;167
201404271800;59;107
201404271815;46;79
201404271830;24;53
201404271845;14;21
201404271900;9;1
201404271915;0;0
201404271930;0;0
201404271945;0;0
201404272000;0;0
201404272015;0;0
201404272030;0;0
201404272045;0;0
201404272100;0;0
201404272115;0;0
201404272130;0;0
201404272145;0;0
201404272200;0;0
201404272215;0;0
201404272230;0;0
201404272245;0;0
201404272300;0;0
201404272315;0;0
201404272330;0;0
201404272345;0;0
201404280000;0;0
201404280015;0;0
201404280030;0;0
201404280045;0;0
201404280100;0;0
201404280115;0;0
201404280130;0;0
201404280145;0;0
201404280200;0;0
201404280215;0;0
201404280230;0;0
201404280245;0;0
201404280300;0;0
201404280315;0;0
201404280330;0;0
201404280345;0;0
201404280400;0;0
201404280415;0;0
201404280430;0;0
201404280445;0;0
201404280500;0;0
201404280515;9;1
201404280530;12;12
201404280545;21;33
201404280600;47;57
201404280615;73;112
201404280630;105;192
201404280645;129;239
201404280700;157;252
201404280715;256;282
201404280730;291;337
201404280745;358;407
201404280800;330;467
201404280815;366;519
201404280830;402;568
201404280845;433;615
201404280900;460;659
201404280915;460;700
201404280930;528;741
201404280945;548;778
201404281000;639;810
201404281015;666;839
201404281030;808;864
201404281045;758;888
201404281100;717;907
201404281115;716;923
201404281130;701;937
201404281145;645;948
201404281200;664;953
201404281215;669;957
201404281230;714;957
201404281245;746;952
201404281300;803;947
201404281315;679;936
201404281330;644;923
201404281345;654;903
201404281400;632;879
201404281415;635;851
201404281430;604;819
201404281445;503;782
201404281500;462;741
201404281515;464;703
201404281530;435;662
201404281545;391;616
201404281600;369;566
201404281615;346;516
201404281630;300;463
201404281645;290;409
201404281700;225;352
201404281715;146;298
201404281730;134;245
201404281745;98;193
201404281800;69;141
201404281815;36;92
201404281830;21;52
201404281845;12;16
201404281900;9;1
201404281915;0;0
201404281930;0;0
201404281945;0;0
201404282000;0;0
201404282015;0;0
201404282030;0;0
201404282045;0;0
201404282100;0;0
201404282115;0;0
201404282130;0;0
201404282145;0;0
201404282200;0;0
201404282215;0;0
201404282230;0;0
201404282245;0;0
201404282300;0;0
201404282315;0;0
201404282330;0;0
201404282345;0;0
201404290000;0;0
201404290015;0;0
201404290030;0;0
201404290045;0;0
201404290100;0;0
201404290115;0;0
201404290130;0;0
201404290145;0;0
201404290200;0;0
201404290215;0;0
201404290230;0;0
201404290245;0;0
201404290300;0;0
201404290315;0;0
201404290330;0;0
201404290345;0;0
201404290400;0;0
201404290415;0;0
201404290430;0;0
201404290445;0;0
201404290500;0;0
201404290515;9;1
201404290530;13;18
201404290545;21;47
201404290600;46;84
201404290615;74;124
201404290630;116;168
201404290645;138;217
201404290700;175;269
201404290715;250;322
201404290730;297;376
201404290745;379;430
201404290800;365;475
201404290815;396;529
201404290830;416;574
201404290845;449;624
201404290900;462;671
201406291030;520;896
201406291045;501;919
201406291100;589;941
201406291115;576;958
201406291130;510;972
201406291145;396;982
201406291200;363;987
201406291214;537;989
201406291229;607;989
201406291244;435;987
201406291259;323;977
201406291314;385;968
201406291329;406;958
201406291344;431;941
201406291359;476;921
201406291414;467;894
201406291429;553;867
201406291444;532;837
201406291459;534;806
201406291514;424;772
201406291529;403;734
201406291544;414;691
201406291559;338;646
201406291614;225;603
201406291629;165;554
201406291644;138;506
201406291659;153;457
201406291714;125;406
201406291729;89;353
201406291744;92;300
201406291759;36;251
201406291814;31;203
201406291829;13;156
201406291844;4;109
201406291859;2;66
201406291914;1;34
201406291929;2;9
201406291944;0;0
201406291959;0;0
201406292014;0;0
201406292029;0;0
201406292044;0;0
201406292059;0;0
201406292114;0;0
201406292129;0;0
201406292144;0;0
201406292159;0;0
201406292214;0;0
201406292229;0;0
201406292244;0;0
201406292259;0;0
201406292314;0;0
201406292329;0;0
201406292344;0;0
201406292359;0;0
201406300014;0;0
201406300029;0;0
201406300044;0;0
201406300059;0;0
201406300114;0;0
201406300129;0;0
201406300144;0;0
201406300159;0;0
201406300214;0;0
201406300229;0;0
201406300244;0;0
201406300259;0;0
201406300314;0;0
201406300329;0;0
201406300344;0;0
201406300359;0;0
201406300414;0;0
201406300429;0;0
201406300444;0;0
201406300459;2;8
201406300514;3;29
201406300529;6;56
201406300544;13;92
201406300559;24;135
201406300614;44;178
201406300629;43;223
201406300644;79;271
201406300659;104;318
201406300714;155;367
201406300729;193;417
201406300744;200;466
201406300759;165;514
201406300814;213;561
201406300829;188;606
201406300844;195;649
201406300859;288;691
201406300914;483;730
201406300929;411;768
201406300944;471;805
201406300959;479;836
201406301014;333;862
201406301029;564;886
201406301044;510;909
201406301059;625;930
201406301114;636;946
201406301129;638;957
201406301144;546;968
201406301159;445;974
201406301214;508;984
201406301229;617;965
201406301244;530;985
201406301259;439;978
201406301314;499;975
201406301329;411;937
201406301344;429;967
201406301359;408;926
201406301414;331;905
201406301429;354;780
201406301444;327;723
201406301459;328;726
201406301514;322;709
201406301529;263;563
201406301544;365;644
201406301559;324;673
201406301614;204;555
201406301629;141;467
201406301644;82;293
201406301659;104;321
201406301714;84;276
201406301729;96;359
201406301744;71;242
201406301759;42;148
201406301814;33;117
201406301829;26;107
201406301844;15;76
201406301859;7;61
201406301914;2;23
201406301929;2;7
201406301944;1;3
201406301959;0;0
201406302014;0;0
201406302029;0;0
201406302044;0;0
201406302059;0;0
201406302114;0;0
201406302129;0;0
201406302144;0;0
201406302159;0;0
201406302214;0;0
201406302229;0;0
201406302244;0;0
201406302259;0;0
201406302314;0;0
201406302329;0;0
201406302344;0;0
201406302359;0;0
201407010014;0;0
201407010029;0;0
201407010044;0;0
201407010059;0;0
201407010114;0;0
201407010129;0;0
201407010144;0;0
201407010159;0;0
201407010214;0;0
201407010229;0;0
201407010244;0;0
201407010259;0;0
201407010314;0;0
201407010329;0;0
201407010344;0;0
201407010359;0;0
201407010414;0;0
201407010429;0;0
201407010444;2;1
201407010459;2;8
201407010514;4;28
201407010529;7;55
201407010544;12;76
201407010559;24;118
201407010614;29;134
201407010629;39;195
201407010644;84;272
201407010659;108;319
201407010714;157;366
201407010729;193;415
201407010744;215;464
201407010759;180;514
201407010814;206;559
201407010829;190;605
201407010844;189;652
201407010859;379;695
201407010914;482;734
201407010929;421;774
201407010944;421;808
201407010959;465;836
201407011014;349;863
201407011029;553;888
201407011044;508;909
201407011059;617;927
201407011114;630;945
201407011129;613;962
201407011144;490;972
201407011159;414;981
201407011214;443;985
201407011229;475;989
201407011244;388;987
201407011259;267;980
201407011314;410;972
201407011329;428;960
201407011344;408;942
201407011359;441;920
201407011414;506;895
201407011429;529;867
201407011444;518;835
201407011459;529;803
201407011514;-9999;767
201408031015;353;677
201408031030;359;679
201408031045;416;774
201408031100;438;754
201408031115;499;830
201408031130;301;577
201408031145;226;458
201408031200;197;418
201408031215;171;368
201408031230;164;355
201408031245;197;407
201408031300;257;493
201408031315;369;655
201408031330;346;651
201408031345;311;613
201408031400;398;788
201408031415;381;739
201408031430;294;602
201408031445;229;506
201408031500;199;445
201408031515;169;382
201408031530;128;282
201408031545;127;277
201408031600;131;287
201408031615;134;285
201408031630;133;279
201408031645;114;243
201408031700;93;204
201408031715;78;174
201408031730;61;129
201408031745;51;108
201408031800;40;88
201408031815;32;71
201408031830;25;55
201408031845;17;31
201408031900;12;18
201408031915;11;11
201408031930;9;3
201408031945;0;0
201408032000;0;0
201408032015;0;0
201408032030;0;0
201408032045;0;0
201408032100;0;0
201408032115;0;0
201408032130;0;0
201408032145;0;0
201408032200;0;0
201408032215;0;0
201408032230;0;0
201408032245;0;0
201408032300;0;0
201408032315;0;0
201408032330;0;0
201408032345;0;0
201408040000;0;0
201408040015;0;0
201408040030;0;0
201408040045;0;0
201408040100;0;0
201408040115;0;0
201408040130;0;0
201408040145;0;0
201408040200;0;0
201408040215;0;0
201408040230;0;0
201408040245;0;0
201408040300;0;0
201408040315;0;0
201408040330;0;0
201408040345;0;0
201408040400;0;0
201408040415;0;0
201408040430;0;0
201408040445;0;0
201408040500;0;0
201408040515;8;1
201408040530;9;4
201408040545;11;12
201408040600;16;27
201408040615;28;56
201408040630;47;92
201408040645;51;102
201408040700;58;117
201408040715;64;130
201408040730;74;158
201408040745;78;166
201408040800;95;204
201408040815;110;228
201408040830;102;217
201408040845;124;258
201408040900;112;242
201408040915;103;224
201408040930;105;220
201408040945;113;235
201408041000;117;242
201408041015;122;263
201408041030;206;417
201408041045;197;414
201408041100;216;456
201408041115;423;747
201408041130;522;884
201408041145;433;770
201408041200;211;435
201408041215;155;340
201408041230;120;271
201408041245;373;668
201408041300;325;623
201408041315;277;558
201408041330;266;541
201408041345;194;422
201408041400;222;476
201408041415;249;526
201408041430;158;349
201408041445;157;359
201408041500;160;356
201408041515;158;364
201408041530;132;302
201408041545;100;223
201408041600;74;163
201408041615;73;159
201408041630;71;150
201408041645;71;153
201408041700;58;121
201408041715;39;80
201408041730;28;58
201408041745;19;38
201408041800;14;23
201408041815;11;13
201408041830;12;12
201408041845;10;9
201408041900;10;5
201408041915;8;1
201408041930;0;0
201408041945;0;0
201408042000;0;0
201408042015;0;0
201408042030;0;0
201408042045;0;0
201408042100;0;0
201408042115;0;0
201408042130;0;0
201408042145;0;0
201408042200;0;0
201408042215;0;0
201408042230;0;0
201408042245;0;0
201408042300;0;0
201408042315;0;0
201408042330;0;0
201408042345;0;0
201408050000;0;0
201408050015;0;0
201408050030;0;0
201408050045;0;0
201408050100;0;0
201408050115;0;0
201408050130;0;0
201408050145;0;0
201408050200;0;0
201408050215;0;0
201408050230;0;0
201408050245;0;0
201408050300;0;0
201408050315;0;0
201408050330;0;0
201408050345;0;0
201408050400;0;0
201408050415;0;0
201408050430;0;0
201408050445;0;0
201408050500;0;0
201408050515;0;0
201408050530;9;2
201408050545;12;10
201408050600;19;35
201408050615;35;66
201408050630;41;84
201408050645;53;124
201408050700;107;244
201408050715;68;143
201408050730;85;181
201408050745;99;211
201408050800;60;118
201408050815;50;95
201408050830;24;46
201408050845;30;59
201408050900;58;114
201408050915;102;209
201408050930;162;341
201408050945;175;375
201408051000;140;308
201408051015;170;380
201408051030;207;447
201408051045;195;425
201408051100;158;343
201408051115;165;357
201408051130;208;441
201408051145;262;532
201408051200;124;277
201408051215;96;217
201408051230;121;258
201408051245;126;269
201408051300;140;307
201408051315;147;319
201408051330;164;359
201408051345;191;405
201408051400;334;661
201408051415;243;518
201408051430;329;900
201408051445;322;816
201408051500;234;601
201408051515;169;391
201408051530;131;294
201408051545;131;285
201408051600;114;252
201408051615;81;178
201408051630;64;136
201408051645;56;116
201408051700;55;112
201408051715;55;116
201408051730;49;105
201408051745;22;54
201408051800;14;27
201408051815;11;16
201408051830;11;13
201408051845;10;9
201408051900;9;5
201408051915;8;1
201408051930;0;0
201408051945;0;0
201408052000;0;0
201408052015;0;0
201408052030;0;0
201408052045;0;0
201408052100;0;0
201408052115;0;0
201408052130;0;0
201408052145;0;0
201408052200;0;0
201408052215;0;0
201408052230;0;0
201408052245;0;0
201408052300;0;0
201408052315;0;0
201408052330;0;0
201408052345;0;0
201408060000;0;0
201408060015;0;0
201408060030;0;0
201408060045;0;0
201408060100;0;0
201408060115;0;0
201408060130;0;0
201408060145;0;0
201408060200;0;0
201408060215;0;0
201408060230;0;0
201408060245;0;0
201408060300;0;0
201408060315;0;0
201408060330;0;0
201408060345;0;0
201408060400;0;0
201408060415;0;0
201408060430;0;0
201408060445;0;0
201408060500;0;0
201408060515;8;2
201408060530;12;12
201408060545;17;30
201408060600;31;70
201408060615;55;122
201408060630;65;164
201408060645;69;201
201408060700;100;241
201408060715;105;294
201408060730;151;353
201408060745;178;404
201408060800;241;442
201408060815;192;366
201408060830;147;287
201408060845;142;267
201408060900;219;368
201408060915;297;481
201408060930;329;594
201408060945;312;604
201408061000;425;723
201408061015;406;761
201408061030;383;664
201408061045;456;810
201408061100;516;854
201408061115;525;829
201408061130;476;761
201408061145;485;813
201408061200;450;868
201408061215;472;864
201408061230;545;862
201408061245;528;833
201408061300;514;865
201408061315;505;808
201408061330;484;857
201408061345;426;844
201408061400;364;720
201408061415;356;739
201408061430;232;648
201408061445;236;585
201408061500;242;590
201408061515;248;594
201408061530;247;562
201408061545;185;409
201408061600;231;471
201408061615;236;442
201408061630;182;346
201408061645;166;366
201408061700;121;313
201408061715;108;274
201408061730;56;147
201408061745;32;95
201408061800;31;87
201408061815;41;116
201408061830;27;72
201408061845;17;41
201408061900;11;18
201408061915;9;5
201408061930;0;0
201408061945;0;0
201408062000;0;0
201408062015;0;0
201408062030;0;0
201408062045;0;0
201408062100;0;0
201408062115;0;0
201408062130;0;0
201408062145;0;0
201408062200;0;0
201408062215;0;0
201408062230;0;0
201408062245;0;0
201408062300;0;0
201408062315;0;0
201408062330;0;0
201408062345;0;0
201408070000;0;0
201408070015;0;0
201408070030;0;0
201408070045;0;0
201408070100;0;0
201408070115;0;0
201408070130;0;0
201408070145;0;0
201408070200;0;0
201408070215;0;0
201408070230;0;0
201408070245;0;0
201408070300;0;0
201408070315;0;0
201408070330;0;0
201408070345;0;0
201408070400;0;0
201408070415;0;0
201408070430;0;0
201408070445;0;0
201408070500;0;0
201408070515;8;1
201408070530;10;11
201408070545;15;28
201408070600;20;54
201408070615;32;86
201408070630;42;122
201408070645;51;161
201408070700;82;203
201408070715;93;246
201408070730;128;290
201408070745;156;338
201408070800;219;383
201408070815;226;435
201408070830;272;487
201408070845;337;535
201408070900;382;580
201408070915;412;621
201408070930;375;659
201408070945;361;697
201408071000;430;727
201408071015;472;757
201408071030;452;783
201408071045;447;808
201408071100;530;831
201408071115;561;846
201408071130;570;859
201408071145;525;871
201408071200;465;878
201408071215;504;886
201408071230;577;889
201408071245;577;887
201408071300;504;883
201408071315;564;874
201408071330;494;862
201408071345;441;848
201408071400;414;829
201408071415;379;802
201408071430;230;774
201408071445;278;742
201408071500;310;710
201408071515;280;674
201408071530;286;632
201408071545;287;590
201408071600;286;546
201408071615;299;497
201408071630;271;446
201408071645;202;395
201408071700;134;342
201408071715;108;295
201408071730;94;247
201408071745;54;197
201408071800;39;149
201408071815;26;105
201408071830;17;66
201408071845;13;36
201408071900;9;13
201408071915;7;1
201408071930;0;0
201408071945;0;0
201408072000;0;0
201408072015;0;0
201408072030;0;0
201408072045;0;0
201408072100;0;0
201408072115;0;0
201408072130;0;0
201408072145;0;0
201408072200;0;0
201408072215;0;0
201408072230;0;0
201408072245;0;0
201408072300;0;0
201408072315;0;0
201408072330;0;0
201408072345;0;0
201408080000;0;0
201408080015;0;0
201408080030;0;0
201408080045;0;0
201408080100;0;0
201408080115;0;0
201408080130;0;0
201408080145;0;0
201408080200;0;0
201408080215;0;0
201408080230;0;0
201408080245;0;0
201408080300;0;0
201408080315;0;0
201408080330;0;0
201408080345;0;0
201408080400;0;0
201408080415;0;0
201408080430;0;0
201408080445;0;0
201408080500;0;0
201408080515;9;1
201408080530;10;8
201408080545;13;27
201408080600;19;56
201408080615;32;92
201408080630;40;134
201408080645;50;175
201408080700;92;223
201408080715;100;271
201408080730;141;318
201408080745;149;365
201408080800;224;412
201408080815;224;456
201408080830;269;499
201408080845;344;542
201408080900;393;586
201408080915;417;629
201408080930;400;670
201408080945;399;706
201408081000;471;739
201408081015;480;768
201408081030;437;796
201408081045;464;821
201408081100;533;839
201408081115;575;859
201408081130;585;876
201408081145;528;871
201408081200;470;890
201408081215;494;901
201408081230;512;815
201408081245;534;869
201408081300;488;883
201408081315;579;895
201408081330;517;878
201408081345;425;858
201408081400;432;857
201408081415;433;833
201408081430;221;811
201408081445;305;775
201408081500;294;712
201408081515;193;474
201408081530;201;450
201408081545;284;600
201408081600;319;650
201408081615;299;529
201408081630;314;519
201408081645;142;305
201408081700;136;338
201408081715;138;359
201408081730;129;321
201408081745;66;254
201408081800;43;183
201408081815;29;128
201408081830;17;81
201408081845;12;45
201408081900;8;16
201408081915;0;0
201408081930;0;0
201408081945;0;0
201408082000;0;0
201408082015;0;0
201408082030;0;0
201408082045;0;0
201408082100;0;0
201408082115;0;0
201408082130;0;0
201408082145;0;0
201408082200;0;0
201408082215;0;0
201408082230;0;0
201408082245;0;0
201408082300;0;0
201408082315;0;0
201408082330;0;0
201408082345;0;0
201408090000;0;0
201408090015;0;0
201408090030;0;0
201408090045;0;0
201408090100;0;0
201408090115;0;0
201408090130;0;0
201408090145;0;0
201408090200;0;0
201408090215;0;0
201408090230;0;0
201408090245;0;0
201408090300;0;0
201408090315;0;0
201408090330;0;0
201408090345;0;0
201408090400;0;0
201408090415;0;0
201408090430;0;0
201408090445;0;0
201408090500;0;0
201408090515;8;1
201408090530;9;8
201408090545;13;28
201408090600;18;60
201408090615;31;98
201408090630;41;137
201408090645;51;176
201408090700;86;223
201408090715;102;278
201408090730;149;327
201408090745;172;375
201408090800;225;419
201408090815;223;467
201408090830;274;520
201408090845;381;571
201408090900;424;617
201408090915;451;658
201408090930;422;696
201408090945;437;734
201408091000;506;766
201408091015;497;794
201408091030;444;818
201408091045;480;842
201408091100;561;862
201408091115;599;881
201408091130;610;898
201408091145;543;911
201408091200;493;919
201408091215;520;923
201408091230;605;929
201408091245;563;929
201408091300;513;922
201408091315;607;915
201408091330;547;904
201408091345;414;891
201408091400;431;862
201408091415;430;840
201408091430;211;811
201408091445;296;779
201408091500;334;750
201408091515;311;712
201408091530;324;671
201408091545;325;629
201408091600;299;581
201408091615;323;532
201408091630;312;480
201408091645;222;428
201408091700;144;374
201408091715;118;320
201408091730;101;269
201408091745;55;218
201408091800;38;166
201408091815;27;117
201408091830;16;74
